Bomb Blasts Occurred,Building condition satisfactory,Color By Measure Value,Analysis Level Selector,Complete Primary Schools,Drinking water,Education score
27,4.658385093,75.085,FATA,157,54.5,69.1
27,40.77659772,54.055,FATA,588,34.77298851,47.945
27,5.300515021,77.925,FATA,466,41.29569893,45.975
27,2.338045267,82.88,FATA,472,28.88509317,51.745
27,61.28854139,83.93,FATA,690,80.16887417,50.935
27,7.689096386,64.03,FATA,403,26.59134615,55.41
27,0.187969925,67.15,FATA,578,32.85727788,46.19
27,50,69.57,GB,42,34.59375,63.87
27,30.1747482,57.025,GB,0,66.53543307,55.97
27,18.96742718,86.95,GB,54,46.90909091,78.69
27,48.5060241,83.145,GB,43,87.47619048,59.095
27,67.25916667,87.265,GB,63,73.5,70.02
27,42.73368421,95.845,GB,38,89.30434783,81.405
27,10.71611285,75.565,GB,202,40.08208955,71.755
27,85.3562766,89.78,ICT,190,93.92931937,72.98
27,70.59149562,68.355,KP,960,75.89390168,73.26
27,99.57035714,74.31,KP,786,99.91961415,62.845
27,49.24369535,70.43,KP,349,36.68092567,50.045
27,90.58184819,64.325,KP,458,69.05250404,60.375
27,73.9439521,66.27,KP,874,91.97994269,62.645
27,88.74883412,63.1,KP,280,75.82527301,68.985
27,84.36850921,72.585,KP,901,79.6015625,62.445
27,79.17897436,75.555,KP,215,76.60493827,66.85
27,85.21641939,68.36,KP,655,67.48054475,61.4
27,92.36633858,76.8,KP,677,55.64285714,66.38
27,89.45544892,48.045,KP,596,90.22003035,49.795
27,59.71096728,45.66,KP,482,46.26115859,44.295
27,84.36513514,65.73,KP,626,71.84898613,56.235
27,85.1043299,76.345,KP,887,62.04222049,69.865
27,99.91007194,72.51,KP,480,82.21908127,71.385
27,57.50383497,66.89,KP,810,54.51772705,57.58
27,87.0378036,77.135,KP,1254,97.5,65.55
27,78.64771523,69.955,KP,666,80.51608752,73.615
27,92.55,83.545,KP,934,85.69434629,69.96
27,79.945,62.27,KP,380,38.52023609,51.99
27,78.84,67.265,KP,847,80.89622642,52.39
27,51.145,70.295,KP,879,54.81964809,56.145
27,56.245,70.85,KP,281,49.00283286,52.01
27,26.415,71.38,KP,127,33.11137441,64.5
27,85.60893082,39.96,KP,557,69.79949875,53.69
27,85.42688699,96.47,Punjab,712,96.87762238,82.955
27,91.34473788,91.465,Punjab,1310,99.08350306,72.48
27,88.21842697,90.895,Punjab,1153,98.26115486,67.11
27,79.61727273,85.96,Punjab,866,99.17203312,69.315
27,88.97330317,93.755,Punjab,676,99.40191388,85.035
27,88.9672842,75.7,Punjab,439,99.45504087,67.785
27,74.25201604,91.785,Punjab,861,93.65079834,66.39
27,89.35605058,95.205,Punjab,1164,99.13223141,77.995
27,81.07409001,91.01,Punjab,974,97.56618275,76.52
27,89.55325329,82.21,Punjab,865,98.36363636,75.735
27,82.72755659,82.415,Punjab,377,97.13876967,67.815
27,84.5636167,87.175,Punjab,1100,99.6948894,74.405
27,85.00967168,73.205,Punjab,467,98.21134021,67.68
27,85.905,89.875,Punjab,925,97.16775777,73.59
27,86,89.73,Punjab,651,98.58490566,65.75
27,81.385,79.09,Punjab,576,93.25216316,63.215
27,87.935,92.375,Punjab,598,99.77908689,73.55
27,82.465,78.32,Punjab,901,98.77184466,64.175
27,86.965,78.07,Punjab,497,98.67768595,61.88
27,88.32,88.22,Punjab,,98.99275362,77.785
